rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
9,Thailand,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Kuala Lumpur to Berlin via London,Kuala Lumpur to Berlin via London,01-09-2017,2,5,5,4,5,3
10,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Brussels to London ,Brussels to London ,01-09-2017,5,5,-1,5,5,-1
8,United Kingdom,A321,A321,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Sofia,London Heathrow to Sofia,01-09-2017,4,4,1,3,3,-1
6,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Heathrow to Bilbao,Heathrow to Bilbao,01-09-2017,3,2,-1,4,3,-1
5,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Kalamata to London Heathrow,Kalamata to London Heathrow,01-09-2017,2,2,2,3,2,-1
3,United States,Unknown,,Business,Business,Economy Class,London Heathrow to Kraków,London Heathrow to Kraków,01-09-2017,2,1,1,3,3,1
3,United Kingdom,Boeing 777,Boeing 777,Business,Business,Economy Class,"London Heathrow to Abuja, Nigeria","London Heathrow to Abuja, Nigeria",01-09-2017,1,2,2,3,2,2
2,United Kingdom,Boeing 777,Boeing 777,Business,Business,Economy Class,London to Tokyo Haneda,London to Tokyo Haneda,01-09-2017,2,4,1,3,1,2
6,Hong Kong,A380,A380,Solo Leisure,Solo Leisure,Premium Economy,London to Hong Kong,London to Hong Kong,01-09-2017,3,5,3,2,3,3
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Gatwick to Alicante,Gatwick to Alicante,01-09-2017,1,1,1,3,1,1
6,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Kalamata,London Heathrow to Kalamata,01-09-2017,2,4,3,3,3,-1
4,Japan,Unknown,,Couple Leisure,Couple Leisure,Business Class,Gatwick to Mauritius,Gatwick to Mauritius,01-09-2017,1,3,1,3,2,3
3,United States,Boeing 777,Boeing 777,Business,Business,Business Class,Dubai to London,Dubai to London,01-09-2017,3,1,1,3,1,1
9,Australia,A319,A319,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Biarritz,London Heathrow to Biarritz,01-09-2017,4,5,4,4,4,-1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,London Gatwick to Funchal,London Gatwick to Funchal,01-09-2017,1,1,1,2,1,-1
8,United Kingdom,A320,A320,Family Leisure,Family Leisure,Business Class,Zakinthos to London Heathrow,Zakinthos to London Heathrow,01-09-2017,4,5,4,2,5,2
8,United Kingdom,A319,A319,Business,Business,Economy Class,Belfast City to London Heathrow,Belfast City to London Heathrow,01-09-2017,3,4,4,5,2,-1
